na,na,na,na,,0,0,AR,0.5598565
na,na,na,na,,0,1,AR,0.3410959
na,na,na,na,,0,2,AR,0.8096189
na,na,na,na,,0,3,AR,0.2591823
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
na,na,na,na,,0,0,AR post,0.2233309
na,na,na,na,,0,1,AR post,0.6362016
na,na,na,na,,0,2,AR post,0.1128701
na,na,na,na,,0,3,AR post,0.6200767
na,na,na,na,,0,4,AR post,0.1476869
na,na,na,na,,1,4,AR post,0.2570972
na,na,na,na,,2,4,AR post,0.6777699
na,na,na,na,,3,4,AR post,0.2301524
na,na,na,na,,4,4,AR post,0.7999481
na,na,na,na,,5,4,AR post,0.1961237
na,na,na,na,,6,4,AR post,0.5619444
na,na,na,na,,7,4,AR post,0.3117413
na,na,na,na,,0,0,AR,0.4770857
na,na,na,na,,0,1,AR,0.7304569
na,na,na,na,,0,2,AR,0.3555274
na,na,na,na,,0,3,AR,0.6119733
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
na,na,na,na,,0,0,AR post,0.6145779
na,na,na,na,,0,1,AR post,0.3430759
na,na,na,na,,0,2,AR post,0.6237578
na,na,na,na,,0,3,AR post,0.3287137
na,na,na,na,,0,4,AR post,0.3968357
na,na,na,na,,1,4,AR post,0.3737196
na,na,na,na,,2,4,AR post,0.3900331
na,na,na,na,,0,0,AR,0.613178
na,na,na,na,,0,1,AR,0.3879481
na,na,na,na,,0,2,AR,0.3957607
na,na,na,na,,0,3,AR,0.5998735
na,na,na,na,,0,4,AR,0.2718046
na,na,na,na,,1,4,AR,0.2733289
na,na,na,na,,0,0,AR,0.660427
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
